  0   50   50    0 9999 9999 9999    0    0 0
  1   21   46    0 9999 9999 9999   10    0 1
  2   24   37    0 9999 9999 9999   10    0 0
  3   29   29    0 9999 9999 9999   10    0 1
  4   37   24    0 9999 9999 9999   10    0 0
  5   46   21    0 9999 9999 9999   10    0 1
  6   55   21    0 9999 9999 9999   10    0 0
  7   64   24    0 9999 9999 9999   10    0 1
  8   71   29    0 9999 9999 9999   10    0 0
  9   77   37    0 9999 9999 9999   10    0 1
 10   80   46    0 9999 9999 9999   10    0 0
 11   80   55    0 9999 9999 9999   10    0 1
 12   77   64    0 9999 9999 9999   10    0 0
 13   71   71    0 9999 9999 9999   10    0 1
 14   64   77    0 9999 9999 9999   10    0 0
 15   55   80    0 9999 9999 9999   10    0 1
 16   46   80    0 9999 9999 9999   10    0 0
 17   37   77    0 9999 9999 9999   10    0 1
 18   29   71    0 9999 9999 9999   10    0 0
 19   24   64    0 9999 9999 9999   10    0 1
 20   21   55    0 9999 9999 9999   10    0 0
 21   23   31    0 9999 9999 9999   10    0 1
 22   30   23    0 9999 9999 9999   10    0 0
 23   39   18    0 9999 9999 9999   10    0 1
 24   50   17    0 9999 9999 9999   10    0 0
 25   60   18    0 9999 9999 9999   10    0 1
 26   69   23    0 9999 9999 9999   10    0 0
 27   77   30    0 9999 9999 9999   10    0 1
 28   82   39    0 9999 9999 9999   10    0 0
 29   84   50    0 9999 9999 9999   10    0 1
 30   83   60    0 9999 9999 9999   10    0 0
 31   78   69    0 9999 9999 9999   10    0 1
 32   71   77    0 9999 9999 9999   10    0 0
 33   61   82    0 9999 9999 9999   10    0 1
 34   51   84    0 9999 9999 9999   10    0 0
 35   41   83    0 9999 9999 9999   10    0 1
 36   31   78    0 9999 9999 9999   10    0 0
 37   23   71    0 9999 9999 9999   10    0 1
 38   18   61    0 9999 9999 9999   10    0 0
 39   17   51    0 9999 9999 9999   10    0 1
 40   18   41    0 9999 9999 9999   10    0 0
 41   13   45    0 9999 9999 9999   10    0 1
 42   17   33    0 9999 9999 9999   10    0 0
 43   24   24    0 9999 9999 9999   10    0 1
 44   33   17    0 9999 9999 9999   10    0 0
 45   45   13    0 9999 9999 9999   10    0 1
 46   56   13    0 9999 9999 9999   10    0 0
 47   67   17    0 9999 9999 9999   10    0 1
 48   77   24    0 9999 9999 9999   10    0 0
 49   84   33    0 9999 9999 9999   10    0 1
 50   88   45    0 9999 9999 9999   10    0 0
